Symbol,Company,Bonus (%),Cash (%),Total (%),Announcement Date,Book Closure Date,Fiscal Year
LICN,Life Insurance Corporation Nepal Limited,34.46,35.53,70,2019-07-11,2019-07-25,2074/2075
LBBL,Lumbini Bikas Bank Limited,17.07,0,17.07,2019-07-23,2019-08-07,2074/2075
NICL,Nepal Insurance Company Limited,7.5,0,7.5,2019-08-01,2019-08-09,2074/2075
NCCB,Nepal Credit and Commerce Bank Limited,15.89,0.83,16.72,2019-08-04,2019-08-11,2074/2075
LVF1,Laxmi Value Fund-1,0,15,15,2019-08-06,2019-08-13,2075/2076
SEF,Siddhartha Equity Fund,0,11,11,2019-08-07,2019-08-18,2075/2076
NIL,Neco Insurance Limited,12,0.63,12.63,2019-07-28,2019-08-20,2074/2075
NICGF,NIC Asia Growth Fund,0,10,10,2019-08-22,2019-08-30,2075/2076
CIT,Citizen Investment Trust,22,1.16,23.16,2019-08-23,2019-09-05,2074/2075
SAEF,Sanima Equity Fund,0,10,10,2019-08-28,2019-09-06,2075/2076
NMBHF1,NMB Hybrid Fund L- 1,0,10,10,2019-09-06,2019-09-12,2075/2076
NMBSF1,NMB Sulav Investment Fund-1,0,15,15,2019-10-01,2019-09-12,2075/2076
KBL,Kumari Bank Limited,10,0.52,10.52,2019-09-08,2019-09-15,2075/2076
NICA,NIC Asia Bank Limited,10,11.05,21.05,2019-09-06,2019-09-15,2075/2076
CZBIL,Citizens Bank International Limited,3,12,15,2019-09-08,2019-09-17,2075/2076
PLIC,Prime Life Insurance Company Limited,12.5,0,12.5,2020-03-10,2019-09-17,2073/2074
NIBSF1,NIBL Samriddhi Fund 1,0,6.5,6.5,2019-09-17,2019-09-23,2075/2076
GDBL,Gandaki Bikas Bank Limited,0.00,17.32,17.32,2019-12-25,2019-09-26,2075/2076
MBL,Machhapuchchhre Bank Limited,5,11,16,2019-09-22,2019-09-27,2075/2076
SANIMA,Sanima Bank Limited,10,11.05,21.05,2019-09-23,2019-09-30,2075/2076
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,17,0.89,17.89,2019-09-24,2019-10-01,2075/2076
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,12,0.63,12.63,2019-09-26,2019-10-02,2075/2076
BOKL,Bank of Kathmandu Limited,6,11,17,2019-09-25,2019-10-03,2075/2076
UNL,Unilever Nepal Limited,0,770,770,2019-10-01,2019-10-09,2075/2076
OHL,Oriental Hotel Limited,5,10.79,15.79,2019-10-01,2019-10-15,2075/2076
SHIVM,Shivam Cements Limited,0,15.78,15.78,2019-10-01,2019-10-16,2075/2076
SBL,Siddhartha Bank Limited,10,15.26,25.26,2019-10-03,2019-10-16,2075/2076
SRBL,Sunrise Bank Limited,10,5.8,15.8,2019-11-04,2019-10-18,2075/2076
NLICL,National Life Insurance Company Limited,2.5,12,14.5,2019-10-14,2019-10-27,2074/2075
JBNL,Janata Bank Nepal Limited,6,6,12,2019-10-27,2019-10-31,2075/2076
MEGA,Mega Bank Nepal Limited,0,11.75,11.75,2019-12-16,2019-10-31,2075/2076
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,30,1.58,31.58,2019-11-06,2019-11-06,2075/2076
MLBL,Mahalaxmi Bikas Bank Limited,8,9.89,17.89,2019-11-06,2019-11-06,2075/2076
GBIME,Global IME Bank Limited,12.75,12.75,25.5,2019-10-27,2019-11-07,2075/2076
GILB,Global IME Laghubitta Bittiya Sanstha Limited,17.5,0.92,18.42,2020-08-07,2019-11-11,2075/2076
PRVU,Prabhu Bank Limited,16,0.84,16.84,2019-11-03,2019-11-12,2075/2076
CHCL,Chilime Hydro power Company Limited,20,5,25,2019-12-29,2019-11-13,2075/2076
GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,7.61,0.4,8.01,2019-11-06,2019-11-13,2075/2076
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,6,10,16,2020-07-29,2019-11-15,2075/2076
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,13,0.68,13.68,2019-12-02,2019-11-21,2075/2076
SDESI,Swadeshi Laghubitta Bittiya Sanstha Limited,20,15,35,2020-07-29,2019-11-22,2075/2076
SCB,Standard Chartered Bank Nepal Limited,0,22.5,22.5,2019-11-15,2019-11-25,2075/2076
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,15,11.32,26.32,2019-12-02,2019-11-27,2075/2076
GBBL,Garima Bikas Bank Limited,16.15,0.85,17,2019-11-21,2019-11-29,2075/2076
SBI,Nepal SBI Bank Limited,6,10.84,16.84,2019-12-17,2019-11-29,2075/2076
HDL,Himalayan Distillery Limited,50,52.63,102.63,2020-01-20,2019-12-01,2075/2076
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,26.75,1.4,28.15,2019-11-22,2019-12-01,2075/2076
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,27.11,17.21,44.32,2020-07-29,2019-12-02,2075/2076
NMFBS,National Laghubitta Bittiya Sanstha Limited,75,5,80,2020-07-29,2019-12-02,2075/2076
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,7,0.36,7.36,2019-12-02,2019-12-04,2075/2076
RHPC,Ridi Hydropower Development Company Limited,5,0.26,5.26,2019-12-06,2019-12-05,2075/2076
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,32,1.68,33.68,2019-12-02,2019-12-06,2075/2076
SLBS,Suryodaya Laghubitta Bittiya Sanstha Limited,44.47,2.34,46.81,2020-07-29,2019-12-07,2075/2076
CHLBS,Chautari Laghubitta Bittiya Sanstha Limited,7,10.89,17.89,2019-12-08,2019-12-08,2075/2076
MNBBL,Muktinath Bikas Bank Limited,17.6,0.93,18.53,2019-11-18,2019-12-09,2075/2076
CBL,Civil Bank Limited,0,6.57,6.57,2019-12-24,2019-12-09,2075/2076
LBL,Laxmi Bank Limited,10,5,15,2019-11-28,2019-12-09,2075/2076
NBB,Nepal Bangladesh Bank Limited,5,7,12,2019-12-25,2019-12-11,2075/2076
SHL,Soaltee Hotel Limited,15,11.31,26.31,2020-08-05,2019-12-11,2075/2076
AMFI,Aarambha Laghubitta Bittiya Sanstha Limited,7.38,,7.38,2019-12-03,2019-12-15,2075/2076
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,25,15.53,40.53,2019-12-05,2019-12-16,2075/2076
KSBBL,Kamana Sewa Bikas Bank Limited,0,6.8,6.8,2020-01-08,2019-12-16,2075/2076
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,26,14,40,2019-12-05,2019-12-17,2075/2076
SIFC,Shree Investment Finance Company Limited,2.35,10.65,13,2020-07-29,2019-12-17,2075/2076
NAGRO,Nepal Agro Laghubitta Bittiya Sanstha Limited,15,0,15,2019-12-01,2019-12-17,2075/2076
NNLB,Naya Nepal Laghubitta Bikas Bank Limited,20,1.0526,21.0526,2019-12-24,2019-12-19,2075/2076
NMB,NMB Bank Limited,21,14,35,2020-01-16,2019-12-20,2075/2076
EBL,Everest Bank Limited,5,20,25,2020-07-29,2019-12-20,2075/2076
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,10,5,15,2020-07-29,2019-12-20,2075/2076
PFL,Pokhara Finance Limited,7,7.2,14.2,2020-01-01,2019-12-20,2075/2076
TRH,Taragaon Regency Hotel Limited,0,12,12,2020-01-23,2019-12-24,2075/2076
NABIL,Nabil Bank Limited,12,22,34,2019-12-17,2019-12-24,2075/2076
SHPC,Sanima Mai Hydropower Limited,10,0.5263,10.5263,2020-07-29,2019-12-25,2075/2076
BPCL,Butwal Power Company Limited,10,18,28,2020-01-06,2019-12-25,2075/2076
NLO,Nepal Lube Oil Limited,0,30,30,2019-12-16,2019-12-26,2075/2076
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,13,0.68,13.68,2020-07-29,2019-12-26,2075/2076
AHPC,Arun Valley Hydropower Development Company Limited,7,0.37,7.37,2020-07-29,2019-12-26,2075/2076
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,12.5,12.5,25,2020-01-16,2019-12-27,2075/2076
KBBL,Kailash Bikas Bank Limited,16,2.77,18.77,2019-12-27,2019-12-27,2075/2076
UMHL,United Modi Hydropower Limited,0,8.421,8.421,2019-12-18,2019-12-27,2075/2076
NBL,Nepal Bank Limited,15,10,25,2020-07-29,2019-12-29,2075/2076
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,15,5.79,20.79,2020-01-23,2019-12-29,2075/2076
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,15,5,20,2020-01-20,2019-12-29,2075/2076
ADBL,Agricultural Development Bank Limited,6,24,30,2019-12-24,2019-12-29,2075/2076
PCBL,Prime Commercial Bank Limited,16,0,16,2020-07-29,2019-12-30,2075/2076
SMB,Support Laghubitta Bittiya Sanstha Limited,10,0.526,10.526,2019-12-24,2019-12-30,2075/2076
UFL,United Finance Limited,3,7.526,10.526,2020-07-29,2019-12-30,2075/2076
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,27.25,1.434,28.684,2020-07-29,2019-12-30,2075/2076
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,20,11.579,31.579,2020-07-29,2019-12-30,2075/2076
NIB,Nepal Investment Bank Limited,10.5,8.5,19,2020-07-29,2019-12-30,2075/2076
JFL,Janaki Finance Company Limited,22,1.16,23.16,2019-12-20,2019-12-30,2075/2076
CHL,Chhyangdi Hydropower Company Limited,5,0.26,5.26,2019-12-23,2019-12-31,2075/2076
ICFC,ICFC Finance Limited,5,8,13,2019-12-24,2019-12-31,2075/2076
UMB,Unnati Laghubitta Bittiya Sanstha Limited,38.6,2.03,40.63,2020-07-29,2019-12-31,2075/2076
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,15,0.78,15.78,2019-12-22,2019-12-31,2075/2076
KADBL,Kanchan Development Bank Limited,10,6,16,2019-12-25,2019-12-31,2075/2076
SADBL,Shangrila Development Bank Limited,0,8.9593,8.9593,2019-12-25,2019-12-31,2075/2076
NTC,Nepal Doorsanchar Company Limited,0,45,45,2019-12-24,2019-12-31,2075/2076
KMFL,Kisan Microfinance Bittiya Sanstha Limited,23.95,1.14,25.09,2020-07-29,2019-12-31,2075/2076
MFIL,Manjushree Finance Limited,1.75,9.8,11.55,2020-07-29,2019-12-31,2075/2076
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,32.5,12.5,45,2019-12-24,2019-12-31,2075/2076
NSEWA,Nepal Seva Laghubitta Bittiya Sanstha Limited,2.5,0.125,2.625,2019-12-26,2020-01-01,2075/2076
SINDU,Sindhu Bikas Bank Limited,11.4851,0.6049,12.092,2020-07-29,2020-01-01,2075/2076
SMFDB,Summit Laghubitta Bittiya Sanstha Limited,21.09,1.11,22.2,2020-08-03,2020-01-01,2075/2076
GFCL,Goodwill Finance Company Limited,0,10,10,2020-01-20,2020-01-01,2075/2076
JBBL,Jyoti Bikash Bank Limited,12.75,0,12.75,2019-12-25,2020-01-01,2075/2076
HIDCL,Hydroelectricity Investment and Development Company Limited,0,12,12,2019-12-24,2020-01-02,2075/2076
NEPSE,Nepal Stock Exchange Limited,0,40,40,2019-12-25,2020-01-03,2075/2076
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,5,5.5263,10.5263,2020-07-29,2020-01-04,2075/2076
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,45,2.36,47.36,2020-07-29,2020-01-04,2075/2076
GMFIL,Guheswori Merchant Banking & Finance Limited,0,6.5,6.5,2020-01-17,2020-01-07,2075/2076
LBBL,Lumbini Bikas Bank Limited,5,15,20,2020-07-29,2020-01-08,2075/2076
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,24,1.27,25.27,2020-01-02,2020-01-10,2075/2076
SFFIL,Srijana Finance Limited,15,0.789,15.789,2020-07-29,2020-01-17,2075/2076
NCCB,Nepal Credit and Commerce Bank Limited,15,0.78,15.78,2020-01-12,2020-01-21,2075/2076
PRIN,Prabhu Insurance Company Limited,5,11.32,16.32,2020-08-07,2020-01-24,2075/2076
HBL,Himalayan Bank Limited,10,12,22,2020-01-21,2020-01-27,2075/2076
NBBL,Nagbeli Laghubitta Bikash Bank Limited,26,1.368,27.368,2020-01-14,2020-01-27,2075/2076
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,30,15,45,2020-07-29,2020-01-27,2075/2076
RLFL,Reliance Finance Limited,0,6.58,6.58,2020-03-11,2020-02-11,2075/2076
CFCL,Central Finance Limited,0,7,7,2020-03-04,2020-02-11,2075/2076
IGIL,IME General Insurance Limited,6,0.31,6.31,2020-08-18,2020-02-24,2075/2076
NGPL,Ngadi Group Power Limited,0,10,10,2020-06-24,2020-02-27,2075/2076
MDB,Miteri Development Bank Limited,18.525,0.975,19.5,2020-07-29,2020-03-10,2075/2076
SBBLJ,Sahayogi Vikas Bank Limited,0,18.7215,18.7215,2020-03-02,2020-03-11,2075/2076
CCBL,Century Commercial Bank Limited,2,4.75,6.75,2020-03-05,2020-03-13,2075/2076
WOMI,Womi Laghubitta Bittiya Sanstha Limited,10,0.53,10.53,2020-03-01,2020-03-13,2075/2076
API,Api Power Company Limited,5,0,5,2020-02-28,2020-03-14,2075/2076
NICL,Nepal Insurance Company Limited,5,2.89,7.89,2020-08-18,2020-03-17,2075/2076
MSMBS,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,10,7.5,17.5,2020-03-04,2020-03-17,2075/2076
EDBL,Excel Development Bank Limited,17.1,0.9,18,2020-08-07,2020-03-20,2075/2076
SAPDBL,Saptakoshi Development Bank Limited,6,0,6,2020-08-26,2020-03-23,2075/2076
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,12,0.63,12.63,2020-03-15,2020-03-23,2075/2076
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,25,1.32,26.32,2020-03-18,2020-03-27,2075/2076
NIL,Neco Insurance Limited,0,8.16,8.16,2020-03-22,2020-04-06,2075/2076
DBBL,Deva Bikas Bank Limited,8.55,0,8.55,2020-07-29,2020-05-18,2075/2076
SHINE,Shine Resunga Development Bank Limited,15,0,15,2020-06-05,2020-06-15,2075/2076
LGIL,Lumbini General Insurance Limited,8.125,0.406,8.531,2020-07-29,2020-06-22,2075/2076
CIT,Citizen Investment Trust,22,1.16,23.16,2020-06-24,2020-06-24,2075/2076
TMDBL,Tinau Mission Development Bank Limited,12,0,12,2020-06-25,2020-06-25,2075/2076
HGI,Himalayan General Insurance Company Limited,4,3.75,7.75,2020-02-05,2020-06-26,2075/2076
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),5,5,10,2020-06-18,2020-06-29,2075/2076
PLIC,Prime Life Insurance Company Limited,12.5,0,12.5,2020-08-24,2020-07-03,2074/2075
NIBLSF,NIBL Sahabhagita Fund,0,8.25,8.25,2020-08-19,2020-08-07,2076/2077
SEF,Siddhartha Equity Fund,0,7.5,7.5,2020-08-09,2020-08-16,2076/2077
SIGS2,Siddhartha Investment Growth Scheme-2,0,5,5,2020-08-09,2020-08-16,2076/2077
NIBSF1,NIBL Samriddhi Fund 1,0,12,12,2020-08-14,2020-08-21,2076/2077
LEMF,Laxmi Equity Fund,0,4.25,4.25,2020-08-30,2020-09-08,2076/2077
NEF,Nabil Equity Fund,0,6,6,2020-08-27,2020-09-10,2076/2077
NICGF,NIC Asia Growth Fund,0,12,12,2020-08-11,2020-09-10,2076/2077
NICBF,NIC ASIA Balanced Fund,0,8,8,2020-08-11,2020-09-10,2076/2077
NBF2,Nabil Balanced Fund - 2,0,9,9,2020-08-27,2020-09-10,2076/2077
CMF1,Citizens Mutual Fund-1,0,7,7,2019-09-02,2020-09-22,2075/2076
GIMES1,Global IME Samunnat Scheme 1,0,4,4,2020-08-31,2020-09-25,2076/2077
SFMF,Sunrise First Mutual Fund,0,7,7,2020-09-13,2020-09-27,2076/2077
NADEP,NADEP Laghubitta Bittiya Sanstha Limited,10,,10,2020-07-26,2020-09-30,2075/2076
CMF1,Citizens Mutual Fund-1,0,15,15,2020-09-15,2020-10-01,2076/2077
CMF2,Citizens Mutual Fund - 2,0,10,10,2020-09-15,2020-10-01,2076/2077
NMB50,NMB 50,0,5,5,2020-09-21,2020-10-02,2076/2077
NMBHF1,NMB Hybrid Fund L- 1,0,8,8,2020-09-21,2020-10-02,2076/2077
NLO,Nepal Lube Oil Limited,0,10,10,2020-09-30,2020-10-08,2076/2077
MBL,Machhapuchchhre Bank Limited,7.03,3.37,10.4,2020-09-17,2020-10-08,2076/2077
SHIVM,Shivam Cements Limited,0,24.21,24.21,2020-10-15,2020-10-29,2076/2077
SAEF,Sanima Equity Fund,0,7,7,2020-10-04,2020-10-30,2076/2077
SANIMA,Sanima Bank Limited,10,3.6,13.6,2020-10-14,2020-11-02,2076/2077
GLICL,Gurans Life Insurance Company Limited,5.25,0,5.25,2019-11-06,2020-11-05,2074/2075
NLG,NLG Insurance Company Limited,7,0.37,7.37,2020-08-12,2020-11-10,2075/2076
UNL,Unilever Nepal Limited,0,100,100,2020-09-27,2020-11-12,2076/2077
BOKL,Bank of Kathmandu Limited,13,3,16,2020-10-01,2020-11-13,2076/2077
API,Api Power Company Limited,9,0,9,2020-11-01,2020-11-16,2076/2077
FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,9.5,4.1842,13.6842,2020-08-27,2020-11-20,2076/2077
RMDC,RMDC Laghubitta Bittiya Sanstha Limited,15,5,20,2020-11-02,2020-11-23,2076/2077
NICA,NIC Asia Bank Limited,19,1,20,2020-10-21,2020-11-25,2076/2077
CZBIL,Citizens Bank International Limited,8,3,11,2020-10-19,2020-11-26,2076/2077
AKPL,Arun Kabeli Power Limited,5.71,0.29,6,2020-11-19,2020-11-27,2076/2077
STC,Salt Trading Corporation Limited,25,10,35,2020-11-23,2020-11-30,2075/2076
KBL,Kumari Bank Limited,10.85,3.15,14,2020-10-22,2020-11-30,2076/2077
RHPC,Ridi Hydropower Development Company Limited,5,0.26,5.26,2020-11-20,2020-11-30,2076/2077
AHPC,Arun Valley Hydropower Development Company Limited,5.00,0.26,5.26,2020-11-29,2020-12-11,2076/2077
CHCL,Chilime Hydro power Company Limited,10,10,20,2020-12-01,2020-12-14,2076/2077
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,20,6.32,26.32,2020-08-23,2020-12-20,2076/2077
UMHL,United Modi Hydropower Limited,0,5.263,5.263,2020-12-10,2020-12-20,2076/2077
SRBL,Sunrise Bank Limited,5.8,2.48,8.28,2020-11-23,2020-12-22,2076/2077
SCB,Standard Chartered Bank Nepal Limited,7,4.84,11.84,2020-10-30,2020-12-24,2076/2077
RSDC,RSDC Laghubitta Bittiya Sanstha Limited,9,3.63,12.63,2020-10-11,2020-12-25,2076/2077
PRVU,Prabhu Bank Limited,10,0.5263,10.52,2020-12-07,2020-12-25,2076/2077
EBL,Everest Bank Limited,5,5.53,10.53,2020-11-05,2020-12-25,2076/2077
NBB,Nepal Bangladesh Bank Limited,6,2.42,8.42,2020-12-01,2020-12-25,2076/2077
ALBSL,Asha Laghubitta Bittiya Sanstha Limited,15,0.7895,15.7895,2020-09-17,2020-12-27,2076/2077
SPDL,Synergy Power Development Limited,4.75,0.25,5,2020-12-16,2020-12-27,2076/2077
SHPC,Sanima Mai Hydropower Limited,10,5,15,2020-12-01,2020-12-28,2076/2077
MNBBL,Muktinath Bikas Bank Limited,11.25,4.26,15.51,2020-12-07,2020-12-28,2076/2077
HBL,Himalayan Bank Limited,14,6,20,2020-11-30,2020-12-29,2076/2077
NMBMF,NMB Laghubitta Bittiya Sanstha Limited,19,1,20,2020-11-25,2020-12-29,2076/2077
MDB,Miteri Development Bank Limited,15,0.79,15.79,2020-12-06,2020-12-29,2076/2077
LBBL,Lumbini Bikas Bank Limited,7,3,10,2020-12-08,2020-12-29,2076/2077
MFIL,Manjushree Finance Limited,18,5.5,23.5,2020-12-06,2020-12-30,2076/2077
GILB,Global IME Laghubitta Bittiya Sanstha Limited,27.47,1.45,28.92,2020-12-14,2020-12-30,2076/2077
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,19.5,1.03,20.53,2020-12-15,2020-12-30,2076/2077
NGPL,Ngadi Group Power Limited,10,0.526,10.526,2020-12-22,2020-12-30,2076/2077
WOMI,Womi Laghubitta Bittiya Sanstha Limited,30,0,30,2020-12-02,2020-12-30,2076/2077
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,22,7,29,2020-12-03,2020-12-30,2076/2077
NABIL,Nabil Bank Limited,33.5,1.76,35.26,2020-12-22,2020-12-30,2076/2077
GBIME,Global IME Bank Limited,14,2,16,2020-10-28,2020-12-30,2076/2077
SIFC,Shree Investment Finance Company Limited,7.37,3.16,10.53,2020-12-04,2020-12-30,2076/2077
SBI,Nepal SBI Bank Limited,6,3.47,9.47,2020-11-20,2020-12-30,2076/2077
ADBL,Agricultural Development Bank Limited,15,0.7895,15.7895,2020-12-14,2020-12-30,2076/2077
NMB,NMB Bank Limited,13,3.2,16.2,2020-12-21,2020-12-31,2076/2077
SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,18,0.9474,20,2020-12-13,2020-12-31,2076/2077
KSBBL,Kamana Sewa Bikas Bank Limited,4.4,0.23,4.63,2020-12-20,2020-12-31,2076/2077
BARUN,Barun Hydropower Company Limited,5,0.263,5.263,2020-12-14,2020-12-31,2076/2077
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,25,1.3157,26.3157,2020-12-08,2020-12-31,2076/2077
SHINE,Shine Resunga Development Bank Limited,13,0,13,2020-12-20,2020-12-31,2076/2077
NBL,Nepal Bank Limited,12,4,16,2020-12-17,2020-12-31,2076/2077
CCBL,Century Commercial Bank Limited,5.25,2.25,7.5,2020-12-14,2020-12-31,2076/2077
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,19,1,20,2020-12-21,2021-01-01,2076/2077
BPCL,Butwal Power Company Limited,10,15,25,2020-12-20,2021-01-01,2076/2077
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,15,8.16,23.16,2020-12-20,2021-01-01,2076/2077
PFL,Pokhara Finance Limited,5,0.263,5.263,2020-12-20,2021-01-01,2076/2077
GFCL,Goodwill Finance Company Limited,8.4,3.6,12,2020-12-20,2021-01-01,2076/2077
CHL,Chhyangdi Hydropower Company Limited,5,0.26,5.26,2020-12-16,2021-01-01,2076/2077
HDL,Himalayan Distillery Limited,50,50,100,2020-12-18,2021-01-01,2076/2077
SLICL,Surya Life Insurance Company Limited,5,5.526,10.526,2020-11-11,2021-01-01,2075/2076
MEGA,Mega Bank Nepal Limited,10,3.05,13.05,2020-12-17,2021-01-01,2076/2077
PLIC,Prime Life Insurance Company Limited,7,8,15,2020-12-22,2021-01-01,2075/2076
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,16.9399,0.8916,17.8315,2020-11-04,2021-01-01,2076/2077
LBL,Laxmi Bank Limited,9,2.5,11.5,2020-12-15,2021-01-01,2076/2077
NEPSE,Nepal Stock Exchange Limited,20,30,50,2020-12-23,2021-01-02,2076/2077
ICFC,ICFC Finance Limited,10.5,4.5,15,2020-12-07,2021-01-03,2076/2077
PCBL,Prime Commercial Bank Limited,15,0,15,2020-12-21,2021-01-04,2076/2077
GMFIL,Guheswori Merchant Banking & Finance Limited,8,3.4,11.4,2020-12-10,2021-01-05,2076/2077
NCCB,Nepal Credit and Commerce Bank Limited,10.2695,0.5405,10.81,2020-12-20,2021-01-05,2076/2077
NIB,Nepal Investment Bank Limited,13,5.5,18.5,2020-12-20,2021-01-06,2076/2077
NIBPO,Nepal Investment Bank Limited Promoter Share,13,5.5,18.5,2021-01-07,2021-01-06,2076/2077
SBL,Siddhartha Bank Limited,12,3,15,2020-12-06,2021-01-12,2076/2077
JBBL,Jyoti Bikash Bank Limited,10,0,10,2020-12-18,2021-01-13,2076/2077
NLICL,National Life Insurance Company Limited,10,0.53,10.53,2020-12-03,2021-01-15,2075/2076
TMDBL,Tinau Mission Development Bank Limited,6,0,6,2020-12-17,2021-01-15,2076/2077
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,14.25,0.75,15,2020-12-06,2021-01-22,2076/2077
NRN,NRN Infrastructure and Development Limited,2.85,0.15,3,2021-01-01,2021-01-25,2076/2077
GBBL,Garima Bikas Bank Limited,13.5,0.7105,14.21,2020-12-27,2021-01-25,2076/2077
CFCL,Central Finance Limited,7,3,10,2020-12-28,2021-01-25,2076/2077
NLIC,Nepal Life Insurance Company Limited,31,20,51,2020-12-22,2021-01-27,2075/2076
CBL,Civil Bank Limited,8,0.42,8.42,2021-01-12,2021-02-05,2076/2077
TRH,Taragaon Regency Hotel Limited,0,10,10,2021-01-08,2021-02-12,2076/2077
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,2021-01-18,2021-02-12,2076/2077
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,25,6.58,31.58,2021-01-07,2021-02-17,2076/2077
LICN,Life Insurance Corporation Nepal Limited,10,0.5263,10.5263,2020-11-26,2021-02-19,2075/2076
NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,8,0.42,8.42,2021-01-10,2021-02-19,2076/2077
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,13,0.68,13.68,2021-01-10,2021-02-23,2076/2077
GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,15,0.79,15.79,2021-01-07,2021-02-26,2076/2077
NMFBS,National Laghubitta Bittiya Sanstha Limited,21,6,27,2021-01-04,2021-02-26,2076/2077
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,12.3907,0.6521,13.04,2020-11-29,2021-02-27,2076/2077
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited (Former Civil Laghubitta),3.5,0.1842,3.6842,2021-01-12,2021-03-04,2076/2077
SICL,Shikhar Insurance Company Limited,27.769,1.462,29.231,2021-01-05,2021-03-10,2076/2077
SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,10.5,0.55,11.05,2021-01-31,2021-03-12,2076/2077
NTC,Nepal Doorsanchar Company Limited,0,40,40,2021-03-03,2021-03-12,2076/2077
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,19.0057,1,20.0057,2020-12-20,2021-03-12,2076/2077
SFFIL,Srijana Finance Limited,13.59,0.68,14.27,2020-12-24,2021-03-14,2076/2077
MSMBS,Mahila Sahayatra Laghubitta Bittiya Sanstha Limited,10,0.53,10.53,2021-01-21,2021-03-14,2076/2077
MLBL,Mahalaxmi Bikas Bank Limited,8.8,0.46,9.26,2021-02-03,2021-03-16,2076/2077
NHDL,Nepal Hydro Developer Limited,15,0.7895,15.7895,2021-03-07,2021-03-16,2076/2077
MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,9.2,0.4829,9.6829,2020-11-12,2021-03-21,2076/2077
SADBL,Shangrila Development Bank Limited,5,0.2632,5.2632,2021-02-28,2021-03-23,2076/2077
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,20,1.05,21.05,2021-02-14,2021-03-23,2076/2077
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,15,5,20,2021-02-11,2021-03-23,2076/2077
PIC,Premier Insurance Company (Nepal) Limited,0,11.05,11.05,2021-01-12,2021-03-24,2076/2077
NICL,Nepal Insurance Company Limited,8,2,10,2021-01-22,2021-03-30,2076/2077
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,12,0.6315,12.6315,2021-03-09,2021-03-30,2076/2077
GRDBL,Green Development Bank Limited,3.8,0.2,4,2021-01-13,2021-03-30,2076/2077
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,8.85,0,8.85,2021-02-24,2021-03-31,2076/2077
